size,problem_id,heuristic,nodes_expanded,wall_time_total,wall_time_heuristic,path_length,optimal_len,suboptimality,violation_rate,mean_overestimation,h_calls
100,4,manhattan,723,0.006014999991748482,0.0005701000336557627,79,79,1.0,0.0,0.0,1098
100,4,euclidean,1556,0.01275220001116395,0.001180499792098999,79,79,1.0,0.0,0.0,1657
100,4,nn,2501,0.4623091999674216,0.42636089847655967,79,79,1.0,0.002,0.0728311538696289,2665
100,5,manhattan,164,0.0014038000372238457,0.00014359992928802967,106,106,1.0,0.0,0.0,283
100,5,euclidean,2019,0.018351499980781227,0.0016436994192190468,106,106,1.0,0.0,0.0,2106
100,5,nn,2631,0.4995671999640763,0.4600091996253468,106,106,1.0,0.0,0.0,2745
100,6,manhattan,128,0.0010543999960646033,0.00010470027336850762,46,46,1.0,0.0,0.0,187
100,6,euclidean,249,0.001867000013589859,0.00021109997760504484,46,46,1.0,0.0,0.0,312
100,6,nn,546,0.10202900000149384,0.0946418993989937,46,46,1.0,0.002,0.009155750274658203,627
100,7,manhattan,44,0.00046420004218816757,5.839974619448185e-05,44,44,1.0,0.0,0.0,105
100,7,euclidean,383,0.002801199967507273,0.00029299984453246,44,44,1.0,0.0,0.0,442
100,7,nn,560,0.10609369998564944,0.09824099915567786,44,44,1.0,0.004,1.9155129790306091,635
100,8,manhattan,225,0.0018466999754309654,0.0001816999283619225,100,100,1.0,0.0,0.0,363
100,8,euclidean,2215,0.017543099995236844,0.00169560092035681,100,100,1.0,0.0,0.0,2334
100,8,nn,3818,0.6586627999786288,0.6063098011072725,100,100,1.0,0.0,0.0,4016
100,9,manhattan,477,0.004243500006850809,0.00035710004158318043,67,67,1.0,0.0,0.0,670
100,9,euclidean,817,0.005705600022338331,0.0005468997987918556,67,67,1.0,0.0,0.0,886
100,9,nn,1183,0.20733199996175244,0.19138619862496853,67,67,1.0,0.008,0.6853275299072266,1268
100,10,manhattan,55,0.0004715999821200967,5.2399816922843456e-05,34,34,1.0,0.0,0.0,96
100,10,euclidean,123,0.0009133999701589346,0.00010060006752610207,34,34,1.0,0.0,0.0,152
100,10,nn,281,0.05274980003014207,0.04905649967258796,34,34,1.0,0.006,1.2353739738464355,327
100,11,manhattan,64,0.000783099967520684,8.869980229064822e-05,47,47,1.0,0.0,0.0,121
100,11,euclidean,449,0.003267900028731674,0.0003320990945212543,47,47,1.0,0.0,0.0,498
100,11,nn,739,0.13673470000503585,0.12645889859413728,47,47,1.0,0.0,0.0,821
100,12,manhattan,1115,0.009226299996953458,0.0007823000196367502,90,90,1.0,0.0,0.0,1352
100,12,euclidean,1705,0.012917799991555512,0.0012693000608123839,90,90,1.0,0.0,0.0,1804
100,12,nn,2710,0.45476069999858737,0.41906149964779615,90,90,1.0,0.004,0.5722260475158691,2832
100,13,manhattan,487,0.003659399983007461,0.0003229998401366174,78,78,1.0,0.0,0.0,636
